date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:43:15	37967/37967	---M-Z	200	added ('OK')	text/html	date:Sat,%2022%20Apr%202023%2006:43:19%20GMT	https://toystore-template.webflow.io/category/wooden-toys	C:/Users/Justin/Desktop/Website/template/toystore-template.webflow.io/category/wooden-toys.html	(from https://toystore-template.webflow.io/catalog)
23:43:16	37867/37867	---M-Z	200	added ('OK')	text/html	date:Sat,%2022%20Apr%202023%2006:43:20%20GMT	https://toystore-template.webflow.io/category/stuffed-animals	C:/Users/Justin/Desktop/Website/template/toystore-template.webflow.io/category/stuffed-animals.html	(from https://toystore-template.webflow.io/catalog)
23:43:16	42052/42052	---M-Z	200	added ('OK')	text/html	date:Sat,%2022%20Apr%202023%2006:43:20%20GMT	https://toystore-template.webflow.io/product/christmas-deer	C:/Users/Justin/Desktop/Website/template/toystore-template.webflow.io/product/christmas-deer.html	(from https://toystore-template.webflow.io/catalog)
23:43:17	42211/42211	---M-Z	200	added ('OK')	text/html	date:Sat,%2022%20Apr%202023%2006:43:21%20GMT	https://toystore-template.webflow.io/product/rainbow-truck	C:/Users/Justin/Desktop/Website/template/toystore-template.webflow.io/product/rainbow-truck.html	(from https://toystore-template.webflow.io/catalog)
23:43:17	296170/296170	---M--	200	added ('OK')	image/png	etag:%2275f3658e89afebaf1674a8311e003d15%22	https://assets.website-files.com/5baddb6a35e113da0e9a4802/5bae0ede56ac5481f54e12e9_33610-4-plush-toy-hd-min.png	C:/Users/Justin/Desktop/Website/template/assets.website-files.com/5baddb6a35e113da0e9a4802/5bae0ede56ac5481f54e12e9_33610-4-plush-toy-hd-min.png	(from https://toystore-template.webflow.io/catalog)
23:43:19	42088/42088	---M-Z	200	added ('OK')	text/html	date:Sat,%2022%20Apr%202023%2006:43:23%20GMT	https://toystore-template.webflow.io/product/pluto-yellow-dog	C:/Users/Justin/Desktop/Website/template/toystore-template.webflow.io/product/pluto-yellow-dog.html	(from https://toystore-template.webflow.io/catalog)
23:43:19	170542/170542	---M--	200	added ('OK')	image/png	etag:%22e76201f530fb82961449ec4a320568b8%22	https://assets.website-files.com/5baddb6a35e113da0e9a4802/5baf51b7c8d851a73cc4544c_33649-6-toy-transparent-image-min.png	C:/Users/Justin/Desktop/Website/template/assets.website-files.com/5baddb6a35e113da0e9a4802/5baf51b7c8d851a73cc4544c_33649-6-toy-transparent-image-min.png	(from https://toystore-template.webflow.io/catalog)
23:43:21	42090/42090	---M-Z	200	added ('OK')	text/html	date:Sat,%2022%20Apr%202023%2006:43:23%20GMT	https://toystore-template.webflow.io/product/happy-dog	C:/Users/Justin/Desktop/Website/template/toystore-template.webflow.io/product/happy-dog.html	(from https://toystore-template.webflow.io/catalog)
23:43:21	351196/351196	---M--	200	added ('OK')	image/png	etag:%22090f8b2b693faec81aa30e761bcba010%22	https://assets.website-files.com/5baddb6a35e113da0e9a4802/5bae0e6335e113da999a7976_33568-4-toy-image-min.png	C:/Users/Justin/Desktop/Website/template/assets.website-files.com/5baddb6a35e113da0e9a4802/5bae0e6335e113da999a7976_33568-4-toy-image-min.png	(from https://toystore-template.webflow.io/catalog)
23:43:22	173496/173496	---M--	200	added ('OK')	image/png	etag:%22de0f5bc6b0cec7d030ff93ea638a8873%22	https://assets.website-files.com/5baddb6a35e113da0e9a4802/5baf5171ace69cb064b33d42_33388-1-wooden-toy-photos-min.png	C:/Users/Justin/Desktop/Website/template/assets.website-files.com/5baddb6a35e113da0e9a4802/5baf5171ace69cb064b33d42_33388-1-wooden-toy-photos-min.png	(from https://toystore-template.webflow.io/catalog)
